,date,prcp
1033,2017-02-28,0.0
1034,2017-02-28,0.04
1035,2017-02-28,0.58
1036,2017-02-27,0.0
1037,2017-02-27,0.0
1038,2017-02-27,0.0
1039,2017-02-27,
1040,2017-02-27,0.0
1041,2017-02-27,0.0
1042,2017-02-27,0.0
1043,2017-02-26,0.0
1044,2017-02-26,0.0
1045,2017-02-26,
1046,2017-02-26,
1047,2017-02-26,0.0
1048,2017-02-26,0.0
1049,2017-02-25,0.03
1050,2017-02-25,0.0
1051,2017-02-25,0.0
1052,2017-02-25,0.12
1053,2017-02-24,0.0
1054,2017-02-24,0.0
1055,2017-02-24,0.0
1056,2017-02-24,0.0
1057,2017-02-24,0.0
1058,2017-02-24,0.0
1059,2017-02-24,0.0
1060,2017-02-23,0.01
1061,2017-02-23,0.0
1062,2017-02-23,0.0
1063,2017-02-23,0.0
1064,2017-02-23,0.0
1065,2017-02-23,0.0
1066,2017-02-23,0.0
1067,2017-02-22,0.06
1068,2017-02-22,0.06
1069,2017-02-22,0.11
1070,2017-02-22,0.17
1071,2017-02-22,0.13
1072,2017-02-22,0.06
1073,2017-02-22,0.32
1074,2017-02-21,0.06
1075,2017-02-21,0.0
1076,2017-02-21,0.0
1077,2017-02-21,
1078,2017-02-21,0.0
1079,2017-02-21,0.07
1080,2017-02-20,0.0
1081,2017-02-20,0.0
1082,2017-02-20,
1083,2017-02-20,
1084,2017-02-20,0.0
1085,2017-02-20,0.0
1086,2017-02-19,0.0
1087,2017-02-19,0.0
1088,2017-02-19,0.09
1089,2017-02-19,0.1
1090,2017-02-18,0.0
